Job Category:,Number of Positions:,Job Location:,url_link,Work Type:,Job Reference Number:,Contact:,Total Remuneration Package:,Contact Email:,Closing Date:,Organisation/Entity:,job_title
Nursing and Midwifery | Nursing Unit Manager,1,Regional NSW / Tamworth & North West NSW,https://iworkfor.nsw.gov.au/job/nurse-unit-manager-level-1-radiation-oncology-110717,Full-Time,REQ38078,,"$107,613.08 - $107,613.08",,04/06/2018 - 11:59 PM,Hunter New England Local Health District,Nurse Unit Manager Level 1 - Radiation Oncology
Population Health | Health Promotion,1,Sydney Region,https://iworkfor.nsw.gov.au/job/improvement-and-evaluation-coordinator-seslhd-darlinghurst-community-health-centre-108743,Full-Time,REQ34429,,"$96,881.00 - $104,911.00",,28/05/2018 - 11:59 PM,South Eastern Sydney Local Health District,"Improvement and Evaluation Coordinator - SESLHD, Darlinghurst Community Health Centre"
Education And/Or Training,1,Regional NSW / Tamworth & North West NSW,https://iworkfor.nsw.gov.au/job/senior-pathways-officer-seo1-ets-173964-110705,Full-Time,000066FY,02 4904 3963 - Sally Chad,"$138,528. Package includes salary ($115,429 - $124,969), employer's contribution to superannuation and annual leave loading.",,28/05/2018 - 11:59 PM,Department of Education,"Senior Pathways Officer, SEO1 (ETS), 173964"
Marketing & Communications | Communications Marketing and Media,1,Sydney Region,https://iworkfor.nsw.gov.au/job/senior-communications-officer-110702,Full-Time,REQ40060,,"$105,409.00 - $108,373.00",,28/05/2018 - 11:59 PM,NSW Ministry of Health,Senior Communications Officer
Information and Communications Technology | Systems Administration,1,Sydney Region,https://iworkfor.nsw.gov.au/job/poct-ict-support-officer-110690,Full-Time,REQ41108,,"$93,099.00 - $110,422.00",,29/05/2018 - 11:59 PM,NSW Health Pathology,PoCT ICT Support Officer
Nursing and Midwifery | Nurse Manager,1,Sydney Region,https://iworkfor.nsw.gov.au/job/nursing-and-midwifery-excellence-nmx-project-manager-nurse-manager-grade-3-110692,Full-Time,REQ29913,,"$118,257.51 - $120,454.23",,25/05/2018 - 11:59 PM,Sydney Local Health District,Nursing and Midwifery Excellence (NMX) Project Manager (Nurse Manager Grade 3)
Administration and Clerical,1,Sydney Region,https://iworkfor.nsw.gov.au/job/office-manager-clerk-grade-7-8-191925-110683,Full-Time,000066KE,(02) 9561 1922 - Louise Ferguson,"$113,465. Package includes salary ($92,470 - $102,359), employer's contribution to superannuation and annual leave loading.",,28/05/2018 - 11:59 PM,Department of Education,Office Manager - Clerk Grade 7/8 - 191925
Planning | Urban and Regional Planning,2,Sydney Region / Sydney City,https://iworkfor.nsw.gov.au/job/infrastructure-planning-analyst-110682,Full-Time,000065A5,geoff.thompson@planning.nsw.gov.au - Geoff Thompson,"$117,822pa. Package includes salary ($94,327pa - $106,290pa), employer's contribution to superannuation and annual leave loading.",,27/05/2018 - 11:59 PM,Planning,Infrastructure Planning Analyst
Nursing and Midwifery | Nurse Practitioner,1,Sydney Region / Sydney - West,https://iworkfor.nsw.gov.au/job/nurse-practitioner-wound-care-110679,Full-Time,REQ40317,,"$118,257.51 - $126,621.74",,28/05/2018 - 11:59 PM,Western Sydney Local Health District,Nurse Practitioner - Wound Care
Nursing and Midwifery | Nurse Manager,1,Sydney Region,https://iworkfor.nsw.gov.au/job/nurse-manager-grade-5-clinical-practice-slhd-110639,Full-Time,REQ29919,,"$131,375.20 - $133,592.79",,25/05/2018 - 11:59 PM,Sydney Local Health District,Nurse Manager (Grade 5) Clinical Practice (SLHD)
Education And/Or Training | Vocational Education and Training/TAFE,2,Sydney Region / Sydney - Inner West,https://iworkfor.nsw.gov.au/job/teacher-library-and-information-studies-110668,Full-Time,00005ZH7,9217 3384 or 9217 4612 - Jo-Ann Bathurst or Julie Barkman,"Total remuneration package valued to $108,586 p.a. (including salary $82,599 - $97,958 p.a.), employer's contribution to superannuation and annual leave loading.",,21/05/2018 - 11:59 PM,TAFE - Sydney Institute,Teacher Library and Information Studies
Health - Allied | Medical Physicist,2,Central & North Coasts - Newcastle & Hunter Valley / Port Macquarie & Mid-North Coast,https://iworkfor.nsw.gov.au/job/medical-physics-specialists-x2-coffs-harbour-health-campus-perm-fulltime-110676,Full-Time,REQ38919,,"$111,978.00 - $171,691.00",,28/05/2018 - 11:59 PM,Mid North Coast Local Health District,Medical Physics Specialists (x2) - Coffs Harbour Health Campus - Perm Fulltime
Health - Allied | Clinical Psychologist,1,Sydney Region,https://iworkfor.nsw.gov.au/job/clinical-psychologist-spinal-injuries-unit-109852,Part-Time,REQ21531,,"$92,565.00 - $113,518.00",,27/05/2018 - 11:59 PM,South Eastern Sydney Local Health District,"Clinical Psychologist, Spinal Injuries Unit"
Education And/Or Training,1,Sydney Region,https://iworkfor.nsw.gov.au/job/curriculum-development-manager-product-manager-energy-supply-transmission-110669,Full-Time,0000661Q,02 8233 2054 - Claire Sobol,"$144,531. Package includes salary ($130,385), employer's contribution to superannuation and annual leave loading.",,27/05/2018 - 11:59 PM,TAFE Commission,Curriculum Development Manager | Product Manager - Energy Supply/Transmission
Information and Communications Technology,1,Sydney Region / Sydney City|| Sydney Region / Sydney - Greater West,https://iworkfor.nsw.gov.au/job/infrastructure-support-lead-network-mobility-unified-communications-clerk-grade-9-10-digital-technology-services-110665,Full-Time,000065CP,Fransz.DeZilva@justice.nsw.gov.au - Fransz De Zilva,"$128,749. Package includes salary ($105,409 - $116,157), employer's contribution to superannuation and annual leave loading.",,28/05/2018 - 11:59 PM,Corporate Services,"Infrastructure Support Lead, Network Mobility & Unified Communications - Clerk Grade 9/10 - Digital & Technology Services"
Projects | Program Management|| Projects | Project Support|| Projects | Project Management|| Environmental | Agriculture|| Environmental | Specialist Manager,,Regional NSW / Bathurst & Central West NSW,https://iworkfor.nsw.gov.au/job/senior-rural-women-s-network-coordinator-110684,Full-Time,497242,,Clerk Grade 9/10,,22/05/2018 - 11:55 PM,Department of Industry - Primary Industries,Senior Rural Women's Network Coordinator
Information and Communications Technology | Project Management,,Regional NSW / Bathurst & Central West NSW,https://iworkfor.nsw.gov.au/job/senior-project-manager-110750,Full-Time,497090,,Clerk Grade 9/10,,23/05/2018 - 11:55 PM,Department of Industry - Corporate Service Partners,Senior Project Manager
Information and Communications Technology | Systems Administration,1,Sydney Region / Sydney - West,https://iworkfor.nsw.gov.au/job/it-business-partner-customer-engagement-partner-110664,Full-Time,REQ42086,,"$108,255.00 - $123,411.00",,06/06/2018 - 11:59 PM,Western Sydney Local Health District,IT Business Partner (Customer Engagement Partner)
